experiment_id,ccf_id,ccf_region,layer,celltype,dispersion,size
192982_019,772,ACAv,L5,ET,44.10613473,20
192982_019,772,ACAv,L5,ET,44.10613473,20
192982_024,772,ACAv,L5,ET,25.84722654,41
192982_024,772,ACAv,L5,ET,25.84722654,41
192982_026,772,ACAv,L5,ET,33.11003301,35
192982_026,772,ACAv,L5,ET,33.11003301,35
192982_030,772,ACAv,L5,IT,59.67539928,24
192982_032,772,ACAv,L5,ET,53.57875938,45
192982_032,772,ACAv,L5,ET,53.57875938,45
192982_033,772,ACAv,L5,ET,39.55418187,67
192982_033,772,ACAv,L5,ET,39.55418187,67
192982_035,772,ACAv,L5,ET,53.87394236,31
192982_035,772,ACAv,L5,ET,53.87394236,31
192982_037,772,ACAv,L5,ET,39.01351472,22
192982_037,772,ACAv,L5,ET,39.01351472,22
192982_040,772,ACAv,L5,IT,58.99803598,54
192982_041,772,ACAv,L5,IT,49.26512823,44
192982_042,772,ACAv,L5,ET,57.02915275,21
192982_042,772,ACAv,L5,ET,57.02915275,21
192982_043,772,ACAv,L5,ET,50.28822253,13
192982_043,772,ACAv,L5,ET,50.28822253,13
192982_046,1015,ACAd,L5,ET,50.00926252,91
192982_046,1015,ACAd,L5,ET,50.00926252,91
192982_049,772,ACAv,L5,ET,45.02274682,77
192982_049,772,ACAv,L5,ET,45.02274682,77
192982_050,772,ACAv,L5,ET,27.42610318,19
192982_050,772,ACAv,L5,ET,27.42610318,19
192982_051,772,ACAv,L5,IT,31.56319939,15
192982_052,772,ACAv,L5,ET,,0
192982_052,772,ACAv,L5,ET,,0
192982_057,772,ACAv,L5,IT,,1
192982_058,772,ACAv,L5,ET,46.77120859,27
192982_058,772,ACAv,L5,ET,46.77120859,27
192982_060,772,ACAv,L5,IT,,0
192982_062,772,ACAv,L5,ET,12.59273708,6
192982_062,772,ACAv,L5,ET,12.59273708,6
193869_001,827,ILA,L5,ET,20.38381711,2
193869_002,772,ACAv,L5,ET,31.39087703,45
193869_002,772,ACAv,L5,ET,31.39087703,45
193869_003,772,ACAv,L5,IT,62.69830282,84
193869_004,772,ACAv,L5,ET,,0
193869_004,772,ACAv,L5,ET,,0
193869_005,772,ACAv,L5,IT,36.72888658,89
193869_006,772,ACAv,L5,IT,32.4779774,80
193869_007,767,MOs,L5,IT,60.62196385,24
193869_012,827,ILA,L5,ET,7.842193571,2
193869_013,772,ACAv,L5,IT,34.23509632,79
193869_014,772,ACAv,L5,IT,17.76231967,2
193871_004,772,ACAv,L5,IT,50.86869401,197
193871_005,772,ACAv,L5,ET,7.133644853,3
193871_005,772,ACAv,L5,ET,7.133644853,3
193871_007,363,PL,L5,ET,,1
193872_002,772,ACAv,L5,ET,10.29166495,7
193872_002,772,ACAv,L5,ET,10.29166495,7
193872_003,772,ACAv,L5,ET,44.55478808,6
193872_003,772,ACAv,L5,ET,44.55478808,6
193872_006,772,ACAv,L5,ET,33.87535104,65
193872_006,772,ACAv,L5,ET,33.87535104,65
193872_010,772,ACAv,L5,ET,57.49696722,16
193872_015,767,MOs,L5,ET,45.86609944,18
193873_002,772,ACAv,L5,ET,51.66170251,40
193873_003,772,ACAv,L5,ET,30.16355417,15
193873_004,772,ACAv,L5,IT,52.1999202,124
193873_006,767,MOs,L5,IT,65.06683708,85
193873_008,772,ACAv,L5,ET,29.07576252,12
193873_012,772,ACAv,L5,IT,66.42666211,28
194525_001,1015,ACAd,L5,IT,89.86986476,124
194525_002,1015,ACAd,L5,ET,69.18224104,34
194525_002,1015,ACAd,L5,ET,69.18224104,34
194525_003,767,MOs,L5,IT,98.03279985,146
194525_006,1015,ACAd,L5,IT,69.71804922,54
194525_007,1015,ACAd,L5,ET,75.0902254,21
194525_007,1015,ACAd,L5,ET,75.0902254,21
194525_008,1015,ACAd,L5,ET,,0
194525_008,1015,ACAd,L5,ET,,0
194525_010,1015,ACAd,L5,IT,91.82925664,175
194525_020,1015,ACAd,L5,IT,,0
194525_026,1015,ACAd,L5,CT,,0
194525_027,767,MOs,L5,IT,100.208167,140
194525_029,1015,ACAd,L5,IT,11.90945062,8
194526_002,767,MOs,L5,IT,47.69928954,3
194526_003,1015,ACAd,L5,ET,47.24944749,27
194526_003,1015,ACAd,L5,ET,47.24944749,27
194526_004,1015,ACAd,L5,CT,,0
